model_id,country_iso3,pilot_id,slot_id,domain,task,language,replicate_idx,venue,latency_ms,prompt_tokens,response_tokens,finish_reason,primary_task_score,factual_accuracy,contextual_completeness,citation_quality,calibration,absence_of_hallucination,composite
gpt5_mini,USA,USA_P07,P07,D1,T4,en,0,openai_paid,15363,59,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,USA,USA_P07,P07,D1,T4,en,1,openai_paid,15148,59,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,USA,USA_P08,P08,D3,T4,en,0,openai_paid,16832,38,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,USA,USA_P08,P08,D3,T4,en,1,openai_paid,15439,38,800,length,0.09,0.363,0.045,0.09,0.5,1.0,0.35865
gpt5_mini,USA,USA_P09,P09,D2,T5,en,0,openai_paid,13949,67,717,stop,1.0,1.0,0.5,0.5,1.0,1.0,0.8
gpt5_mini,USA,USA_P09,P09,D2,T5,en,1,openai_paid,14109,67,678,stop,1.0,1.0,0.5,0.5,1.0,1.0,0.8
gpt5_mini,USA,USA_P10,P10,D1,T5,en,0,openai_paid,11328,56,654,stop,0.65,0.7549999999999999,0.325,0.325,0.65,1.0,0.604
gpt5_mini,USA,USA_P10,P10,D1,T5,en,1,openai_paid,12868,56,716,stop,0.25,0.475,0.125,0.125,0.25,1.0,0.38
gemini_flash,BRA,BRA_P01,P01,D1,T1,en,0,gemini_free,4894,40,42,max_tokens,1.0,1.0,0.5,0.5,0.5,1.0,0.725
gemini_flash,BRA,BRA_P01,P01,D1,T1,en,1,gemini_free,4711,40,47,stop,1.0,1.0,0.5,0.5,0.5,1.0,0.725
gemini_flash,BRA,BRA_P02,P02,D3,T1,en,0,gemini_free,4913,43,29,max_tokens,0.5,0.5,0.25,0.25,0.5,1.0,0.475
gemini_flash,BRA,BRA_P02,P02,D3,T1,en,1,gemini_free,4752,43,31,max_tokens,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5583333333333333
gemini_flash,BRA,BRA_P03,P03,D1,T2,en,0,gemini_free,4817,42,29,max_tokens,0.2751219512195122,0.49258536585365853,0.2751219512195122,0.1375609756097561,0.5,1.0,0.462190243902439
gemini_flash,BRA,BRA_P03,P03,D1,T2,en,1,gemini_free,5275,42,31,max_tokens,0.37268292682926835,0.5608780487804879,0.37268292682926835,0.18634146341463417,0.5,1.0,0.5143853658536586
